Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Pan, S., Hu, R., Fung, S., Long, G., Jiang, J., Zhang, C.","","Learning graph embedding with adversarial training methods",2019,"IEEE Transactions on Cybernetics",,,,"1","13",,29,,,Article,"Final","",Scopus,2-s2.0-85078957008
"Pamulapati, T., Mallipeddi, R., Suganthan, P.N.","57195281873;25639919900;7003996538;","ISDE +An Indicator for Multi and Many-Objective Optimization",2019,"IEEE Transactions on Evolutionary Computation","23","2","8388296","346","352",,146,"10.1109/TEVC.2018.2848921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048885600&doi=10.1109%2fTEVC.2018.2848921&partnerID=40&md5=f4bcffdb268ebfeae208a00a8b6fc9dc",Article,"Final","",Scopus,2-s2.0-85048885600
"Pan, L., He, C., Tian, Y., Wang, H., Zhang, X., Jin, Y.","7402393930;56621868400;56580833200;55539503700;25654078600;57201346599;","A Classification-Based Surrogate-Assisted Evolutionary Algorithm for Expensive Many-Objective Optimization",2019,"IEEE Transactions on Evolutionary Computation","23","1","8281523","74","88",,306,"10.1109/TEVC.2018.2802784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059048057&doi=10.1109%2fTEVC.2018.2802784&partnerID=40&md5=628acdfaf664661f363f4fb20309c3e6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059048057
"Ghorbanpour, S., Palakonda, V., Mallipeddi, R.","57207109590;57193028485;25639919900;","Ensemble of Pareto-based Selections for Many-objective optimization",2018,"Proceedings of the 2018 IEEE Symposium Series on Computational Intelligence, SSCI 2018",,,"8628907","981","988",,3,"10.1109/SSCI.2018.8628907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062773745&doi=10.1109%2fSSCI.2018.8628907&partnerID=40&md5=aa1da3e243760619d72c7129ff96dd99",Conference Paper,"Final","",Scopus,2-s2.0-85062773745
"Palakonda, V., Ghorbanpour, S., Mallipeddi, R.","57193028485;57207109590;25639919900;","Pareto Dominance-based MOEA with Multiple Ranking methods for Many-objective Optimization",2018,"Proceedings of the 2018 IEEE Symposium Series on Computational Intelligence, SSCI 2018",,,"8628723","958","964",,10,"10.1109/SSCI.2018.8628723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062769412&doi=10.1109%2fSSCI.2018.8628723&partnerID=40&md5=c815381d4d7c4f784cd7ea9b49c836e0",Conference Paper,"Final","",Scopus,2-s2.0-85062769412
"He, C., Tian, Y., Jin, Y., Zhang, X., Pan, L.","56621868400;56580833200;57201346599;25654078600;7402393930;","A radial space division based evolutionary algorithm for many-objective optimization",2017,"Applied Soft Computing","61",,,"603","621",,103,"10.1016/j.asoc.2017.08.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028914323&doi=10.1016%2fj.asoc.2017.08.024&partnerID=40&md5=9a0d47d9f999b8ff737336301e8213d6",Article,"Final","",Scopus,2-s2.0-85028914323
"Palakonda, V., Mallipeddi, R.","57193028485;25639919900;","Pareto Dominance-Based Algorithms with Ranking Methods for Many-Objective Optimization",2017,"IEEE Access","5",,"7950899","11043","11053",,43,"10.1109/ACCESS.2017.2716779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021785913&doi=10.1109%2fACCESS.2017.2716779&partnerID=40&md5=1da2da4e5baba4643de1c055ce7a7309",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85021785913
"Pan, L., He, C., Tian, Y., Su, Y., Zhang, X.","7402393930;56621868400;56580833200;55620136600;25654078600;","A region division based diversity maintaining approach for many-objective optimization",2017,"Integrated Computer-Aided Engineering","24","3",,"279","296",,69,"10.3233/ICA-170542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022174900&doi=10.3233%2fICA-170542&partnerID=40&md5=6acedc12af4eff2d1d621965b2b45090",Article,"Final","",Scopus,2-s2.0-85022174900
"Cheng, R., Jin, Y., Olhofer, M., Sendhoff, B.","55822700600;57201346599;6506881869;35619676800;","A Reference Vector Guided Evolutionary Algorithm for Many-Objective Optimization",2016,"IEEE Transactions on Evolutionary Computation","20","5","7386636","773","791",,1366,"10.1109/TEVC.2016.2519378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995459752&doi=10.1109%2fTEVC.2016.2519378&partnerID=40&md5=8ce6c4c189adef69a8ad5cf06abb4d7e",Article,"Final","",Scopus,2-s2.0-84995459752
"Zhang, X., Tian, Y., Jin, Y.","25654078600;56580833200;57201346599;","A knee point-driven evolutionary algorithm for many-objective optimization",2015,"IEEE Transactions on Evolutionary Computation","19","6","6975108","761","776",,756,"10.1109/TEVC.2014.2378512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959345384&doi=10.1109%2fTEVC.2014.2378512&partnerID=40&md5=f1bded409f8bc0c043a128b3ee6cb8de",Article,"Final","",Scopus,2-s2.0-84959345384
