"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","","0000","Ultrabroadband Nonlinear Optics in Nanophotonic Periodically Poled Lithium Niobate Waveguides","","","","","","","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091637036&partnerID=40&md5=1efe8d2e2d57ab8fef53b7f2db6cffcf","Article","Final","","Scopus","2-s2.0-85091637036"
"","","","Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides","2019","Ultrabroadband Nonlinear Optics in Nanophotonic Periodically Poled Lithium Niobate Waveguides","","","","","","","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077233137&partnerID=40&md5=6bcfaba838717a2937b8931b054714d7","Article","Final","","Scopus","2-s2.0-85077233137"
