Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Roychowdhury, S., Gupta, K., Kasa, S.R., Srinivasa Murthy, P.","57219635211;58826197000;57215325253;57197212487;","Tackling Concept Shift in Text Classification using Entailment-style Modeling",2024,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"5647","5656",,1,"10.1145/3637528.3671541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203682113&doi=10.1145%2f3637528.3671541&partnerID=40&md5=724cc800b219efcc117ad59a5909d0c3",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85203682113
"Pai, Y.-T., Sun, N.-E., Li, C.-T., Lin, S.-D.","57210962471;57221740036;35088279500;24460475800;","Incremental Data Drifting: Evaluation Metrics, Data Generation, and Approach Comparison",2024,"ACM Transactions on Intelligent Systems and Technology","15","4","71","","",,,"10.1145/3655630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202744167&doi=10.1145%2f3655630&partnerID=40&md5=d3c960962e75f37e6a3a1695285d0840",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85202744167
"Deng, Y., Xiang, X.","58704208700;57214019389;","Expanding Hyperspherical Space for Few-Shot Class-Incremental Learning",2024,"Proceedings - 2024 IEEE Winter Conference on Applications of Computer Vision, WACV 2024",,,,"1956","1965",,2,"10.1109/WACV57701.2024.00197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188895259&doi=10.1109%2fWACV57701.2024.00197&partnerID=40&md5=e010c5ce207aba7dfc2ea216d25e33a7",Conference Paper,"Final","",Scopus,2-s2.0-85188895259
"Ahmed, S.T., Lokhande, A.D., Shafik, R.S.","57575888200;57547388200;58289410100;","OPTIMUM LEARNING MODEL FOR TEMPERATURE PROFILE PREDICTION IN ADDITIVE MANUFACTURING PROCESS",2024,"Surface Review and Letters",,,"2550011","","",,,"10.1142/S0218625X25500118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202182892&doi=10.1142%2fS0218625X25500118&partnerID=40&md5=7aac0f1929bc58ec8d15d096753d394f",Article,"Article in Press","",Scopus,2-s2.0-85202182892
"Gomes, H.M., Grzenda, M., Mello, R., Read, J., Le Nguyen, M.H., Bifet, A.","55885351600;6506719628;57220046176;55200513300;58032724500;23093088900;","A Survey on Semi-supervised Learning for Delayed Partially Labelled Data Streams",2023,"ACM Computing Surveys","55","4","75","","",,22,"10.1145/3523055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142343445&doi=10.1145%2f3523055&partnerID=40&md5=2b90ea420c61452f17aafea20123db19",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85142343445
"Roseberry, M., Džeroski, S., Bifet, A., Cano, A.","57190123763;7006806328;23093088900;36170312300;","Aging and rejuvenating strategies for fading windows in multi-label classification on data streams",2023,"Proceedings of the ACM Symposium on Applied Computing",,,,"390","397",,4,"10.1145/3555776.3577625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162905703&doi=10.1145%2f3555776.3577625&partnerID=40&md5=e773ba310e0207e66b26d08f18bf59f5",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85162905703
"Aswini, K., Reddy, U., Nagpal, A., Rana, A., Praveen, Abood, B.S.Z.","58676188000;55842532600;44961468700;55290452600;58675253200;58868266500;","Ensemble Learning Approaches for Big Data Classification Tasks",2023,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering, UPCON 2023",,,,"1545","1550",,1,"10.1109/UPCON59197.2023.10434616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187326798&doi=10.1109%2fUPCON59197.2023.10434616&partnerID=40&md5=d93a4efc8c836e876edc9f36067127e0",Conference Paper,"Final","",Scopus,2-s2.0-85187326798
"Amutha, A.L., Annie Uthra, R., Preetha Roselyn, J., Golda Brunet, R.","57221778660;57212403140;57825739900;57200652581;","Anomaly Detection and Classification in Streaming PMU Data in Smart Grids",2023,"Computer Systems Science and Engineering","46","3",,"3387","3401",,1,"10.32604/csse.2023.029904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158902418&doi=10.32604%2fcsse.2023.029904&partnerID=40&md5=ae38522c9c6d477ecf1f8027652fc080",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85158902418
"Zhou, D.-W., Wang, F.-Y., Ye, H.-J., Ma, L., Pu, S., Zhan, D.-C.","57225801190;57387307100;57002054200;56525713900;56462199300;56186431200;","Forward Compatible Few-Shot Class-Incremental Learning",2022,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","2022-June",,,"9036","9046",,139,"10.1109/CVPR52688.2022.00884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141800857&doi=10.1109%2fCVPR52688.2022.00884&partnerID=40&md5=ca7abb0d4d6de085d5f10cae7559e125",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85141800857
"Crăciunean, D.-C.","57192195090;","A Monadic Co-simulation Model for Cyber-physical Production Systems",2022,"International Journal of Advanced Computer Science and Applications","13","9",,"552","557",,,"10.14569/IJACSA.2022.0130964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139298608&doi=10.14569%2fIJACSA.2022.0130964&partnerID=40&md5=cd1058078b02848dc1f0f2574bc20b84",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85139298608
"Li, C., Wang, Z., Qi, H.","56374728100;57191986725;7202348750;","Online Knowledge Distillation by Temporal-Spatial Boosting",2022,"Proceedings - 2022 IEEE/CVF Winter Conference on Applications of Computer Vision, WACV 2022",,,,"3482","3491",,5,"10.1109/WACV51458.2022.00354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126138854&doi=10.1109%2fWACV51458.2022.00354&partnerID=40&md5=fd8fba42ae7e0b22a7a5dd39c5503993",Conference Paper,"Final","",Scopus,2-s2.0-85126138854
"Cavalheiro, L.P., De Souza Britto, A., Barddal, J.P., Heutte, L.","57219792791;7003596488;56313344100;23389304100;","Dynamically Selected Ensemble for Data Stream Classification",2021,"Proceedings of the International Joint Conference on Neural Networks","2021-July",,,"","",,1,"10.1109/IJCNN52387.2021.9533702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116505174&doi=10.1109%2fIJCNN52387.2021.9533702&partnerID=40&md5=830c1cabc17e86fc6a784042a02ef361",Conference Paper,"Final","",Scopus,2-s2.0-85116505174
"Ribeiro, G.H., De Faria Paiva, E.R., Miani, R.S.","57218825597;57218827848;25929439300;","A comparison of stream mining algorithms on botnet detection",2020,"ACM International Conference Proceeding Series",,,,"","",,3,"10.1145/3407023.3407053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117539872&doi=10.1145%2f3407023.3407053&partnerID=40&md5=d8f9d39e70eeeeb3971b83ba47e130a6",Conference Paper,"Final","",Scopus,2-s2.0-85117539872
"Gomes, H.M., Montiel, J., Mastelini, S.M., Pfahringer, B., Bifet, A.","55885351600;57202321949;57148482500;6602530213;23093088900;","On Ensemble Techniques for Data Stream Regression",2020,"Proceedings of the International Joint Conference on Neural Networks",,,"9206756","","",,15,"10.1109/IJCNN48605.2020.9206756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093843665&doi=10.1109%2fIJCNN48605.2020.9206756&partnerID=40&md5=3077fea9062e3eb56548e18c24e9562f",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85093843665
"Du, S., Han, M., Shen, M., Zhang, C., Sun, R., Gao, T.","57211998836;55648442200;57212105441;57216149090;57216156878;57210936962;","A survey of ensemble classification over concept drift data streams",2020,"Journal of Nonlinear and Convex Analysis","21","7",,"1567","1579",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091869274&partnerID=40&md5=44d13d28a3f474935bc5b5ac3e353fa5",Conference Paper,"Final","",Scopus,2-s2.0-85091869274
"Hmiedi, I., Najadat, H., Halloush, Z., Jalabneh, I.","6507475651;12754014900;57212577565;57215672580;","Semi supervised prediction model in educational data mining",2019,"Proceedings - 2019 International Arab Conference on Information Technology, ACIT 2019",,,"8991048","27","31",,3,"10.1109/ACIT47987.2019.8991048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081547062&doi=10.1109%2fACIT47987.2019.8991048&partnerID=40&md5=77e61584c8b55145396159429cb1ea43",Conference Paper,"Final","",Scopus,2-s2.0-85081547062
"Gomes, H.M., Mello, R.F.D., Pfahringer, B., Bifet, A.","55885351600;35405503200;6602530213;23093088900;","Feature Scoring using Tree-Based Ensembles for Evolving Data Streams",2019,"Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",,,"9006366","761","769",,11,"10.1109/BigData47090.2019.9006366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081328988&doi=10.1109%2fBigData47090.2019.9006366&partnerID=40&md5=5da8e184ffb93ad3d116f7c2081dd431",Conference Paper,"Final","",Scopus,2-s2.0-85081328988
"Crăciunean, D.-C., Karagiannis, D.","57192195090;35573472500;","A categorical model of process co-simulation",2019,"International Journal of Advanced Computer Science and Applications","10","3",,"430","438",,3,"10.14569/IJACSA.2019.0100355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063724166&doi=10.14569%2fIJACSA.2019.0100355&partnerID=40&md5=d0a2198b57737a3488b63bf9de198184",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85063724166
