Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Luo, H., Wang, B., Wu, F., Jian, J., Yang, K., Jin, F., Cong, B., Ning, Y., Zhou, Y., Wang, D., Liu, H., Dou, S.","57213205900;57211982792;57216857938;56982544700;57197770796;57204475302;56694126400;57215087171;57213434211;55642276400;7409750697;56132841400;","Synergistic nanostructure and heterointerface design propelled ultra-efficient in-situ self-transformation of zinc-ion battery cathodes with favorable kinetics",2021,"Nano Energy","81",,"105601","","",,142,"10.1016/j.nanoen.2020.105601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096236646&doi=10.1016%2fj.nanoen.2020.105601&partnerID=40&md5=9841de652862b22948207629d7ba9a6e",Article,"Final","",Scopus,2-s2.0-85096236646
"Sambandam, B., Kim, S., Pham, D.T., Mathew, V., Lee, J., Lee, S., Soundharrajan, V., Kim, S., Alfaruqi, M.H., Hwang, J.-Y., Kim, J.","26647792400;56647159000;56825146900;36149370300;57216486645;57208733945;57189026022;57051707500;55993903100;56297975400;35280305400;","Hyper oxidized V6O13+x·nH2O layered cathode for aqueous rechargeable Zn battery: Effect on dual carriers transportation and parasitic reactions",2021,"Energy Storage Materials","35",,,"47","61",,42,"10.1016/j.ensm.2020.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096168076&doi=10.1016%2fj.ensm.2020.11.001&partnerID=40&md5=c5cbea9c921d703e8579c57d79984f9d",Article,"Final","",Scopus,2-s2.0-85096168076
"Yong, B., Ma, D., Wang, Y., Mi, H., He, C., Zhang, P.","57219400938;56681615300;54416661700;55438157100;57197805255;13605073800;","Understanding the Design Principles of Advanced Aqueous Zinc-Ion Battery Cathodes: From Transport Kinetics to Structural Engineering, and Future Perspectives",2020,"Advanced Energy Materials","10","45","2002354","","",,247,"10.1002/aenm.202002354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092579542&doi=10.1002%2faenm.202002354&partnerID=40&md5=e9d71e43bd59e39a7bdb622e982dbfac",Review,"Final","",Scopus,2-s2.0-85092579542
"Luo, H., Wang, B., Wang, C., Wu, F., Jin, F., Cong, B., Ning, Y., Zhou, Y., Wang, D., Liu, H., Dou, S.","57213205900;57211982792;57033153900;57216857938;57204475302;56694126400;57215087171;57213434211;55642276400;7409750697;56132841400;","Synergistic deficiency and heterojunction engineering boosted VO2 redox kinetics for aqueous zinc-ion batteries with superior comprehensive performance",2020,"Energy Storage Materials","33",,,"390","398",,218,"10.1016/j.ensm.2020.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090284948&doi=10.1016%2fj.ensm.2020.08.011&partnerID=40&md5=3561a9e03641b31f882258ae902d0a01",Article,"Final","",Scopus,2-s2.0-85090284948
"Wang, N., Sun, C., Liao, X., Yuan, Y., Cheng, H., Sun, Q., Wang, B., Pan, X., Zhao, K., Xu, Q., Lu, X., Lu, J.","57207286535;57145342700;57192589972;56480938100;55474364700;57195585843;57211354646;57190377244;56158464500;58440887000;7404838773;56984641100;","Reversible (De)Intercalation of Hydrated Zn2+ in Mg2+-Stabilized V2O5 Nanobelts with High Areal Capacity",2020,"Advanced Energy Materials","10","41","2002293","","",,98,"10.1002/aenm.202002293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091489643&doi=10.1002%2faenm.202002293&partnerID=40&md5=dcda190d6fc56bc022ab369b4bf7c6b1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85091489643
"Du, W., Ang, E.H., Yang, Y., Zhang, Y., Ye, M., Li, C.C.","55642505900;57210741873;57193219323;56023487600;57220789242;23479968900;","Challenges in the material and structural design of zinc anode towards high-performance aqueous zinc-ion batteries",2020,"Energy and Environmental Science","13","10",,"3330","3360",,744,"10.1039/d0ee02079f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096327158&doi=10.1039%2fd0ee02079f&partnerID=40&md5=a6c645a0411679325c6cc2cfe30f82b4",Review,"Final","",Scopus,2-s2.0-85096327158
"Liu, N., Wu, X., Fan, L., Gong, S., Guo, Z., Chen, A., Zhao, C., Mao, Y., Zhang, N., Sun, K.","57208646638;57190884101;22733483700;57204357071;57203641129;57217348727;57199830143;55242444600;8234429500;55498725000;","Intercalation Pseudocapacitive Zn2+ Storage with Hydrated Vanadium Dioxide toward Ultrahigh Rate Performance",2020,"Advanced Materials","32","42","1908420","","",,222,"10.1002/adma.201908420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090447787&doi=10.1002%2fadma.201908420&partnerID=40&md5=03cd3c7e9bc17f170aaafd272b8864ed",Article,"Final","",Scopus,2-s2.0-85090447787
"Chen, S., Li, K., Hui, K.S., Zhang, J.","59114038600;57200151748;57197716983;59292950900;","Regulation of Lamellar Structure of Vanadium Oxide via Polyaniline Intercalation for High-Performance Aqueous Zinc-Ion Battery",2020,"Advanced Functional Materials","30","43","2003890","","",,229,"10.1002/adfm.202003890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090238332&doi=10.1002%2fadfm.202003890&partnerID=40&md5=29341966902fd1f7bc157e93e0fdce49",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85090238332
"Liu, X., Euchner, H., Zarrabeitia, M., Gao, X., Elia, G.A., Groß, A., Passerini, S.","56097593300;26429491300;56533588600;55416823800;42361246800;7202488211;7005453080;","Operando pH measurements decipher H+/Zn2+intercalation chemistry in high-performance aqueous Zn/δ-V2O5batteries",2020,"ACS Energy Letters","5","9",,"2979","2986",,160,"10.1021/acsenergylett.0c01767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092010935&doi=10.1021%2facsenergylett.0c01767&partnerID=40&md5=b4e06d09ab7c1fee62606f5e51d8db5a",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85092010935
"Zhang, Q., Zhang, Y., Fu, L., Liu, S., Yang, H.","55627873062;55969167100;55759027900;49663430300;7406560589;","A novel and improved hydrophilic vanadium oxide-based cathode for aqueous Zn-ion batteries",2020,"Electrochimica Acta","354",,"136721","","",,23,"10.1016/j.electacta.2020.136721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087934615&doi=10.1016%2fj.electacta.2020.136721&partnerID=40&md5=b12a2391e3bb9ac5b3f1c1e0a175a8f6",Article,"Final","",Scopus,2-s2.0-85087934615
