"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Image and video compression with neural networks: A review","2018","Journal of LATEX Class Files","","","","1051","8215","7164","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080038401&partnerID=40&md5=ed94ee1b00b51f2933c3413c1e9646bf","Article","Final","","Scopus","2-s2.0-85080038401"
"","","","Image and video compression with neural networks: A review","2019","IEEE Transactions on Circuits and Systems for Video Technology","","","","","","","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151149062&partnerID=40&md5=9a52a6bbc597dad539b987958f0ddfef","Article","Final","","Scopus","2-s2.0-85151149062"
