Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Madhyastha, M., Underwood, R., Burns, R., Nicolae, B.","57193605900;57218355076;7401945664;25927966300;","DStore: A Lightweight Scalable Learning Model Repository with Fine-Grain Tensor-Level Access",2023,"Proceedings of the International Conference on Supercomputing",,,,"133","143",,5,"10.1145/3577193.3593730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168423176&doi=10.1145%2f3577193.3593730&partnerID=40&md5=3c0634da4149f8a20a6c9e16ed31f52c",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85168423176
"Dong, J., Zhang, Q., Huang, X., Tan, Q., Zha, D., Zihao, Z.","57777192700;57777192800;57193628904;57217342704;56579935400;57210344266;","Active Ensemble Learning for Knowledge Graph Error Detection",2023,"WSDM 2023 - Proceedings of the 16th ACM International Conference on Web Search and Data Mining",,,,"877","885",,13,"10.1145/3539597.3570368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145450793&doi=10.1145%2f3539597.3570368&partnerID=40&md5=b4b3decff7f2e023867d908262b342ad",Conference Paper,"Final","",Scopus,2-s2.0-85145450793
"Shang, L., Li, J., Jia, X., Yang, B.","55893789100;57257846100;58831067400;36661700800;","Search for Pair-Produced vectorlike lepton singlet at the ILC by the XGBoost method",2023,"Nuclear Physics B","987",,"116071","","",,4,"10.1016/j.nuclphysb.2022.116071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146067738&doi=10.1016%2fj.nuclphysb.2022.116071&partnerID=40&md5=e3d7696626479b63c88e860cede76202",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85146067738
"Wójcik, M., Kosciukiewicz, W., Baran, M., Kajdanowicz, T., Gonczarek, A.","58000493300;58000058500;58055067300;25653676500;12544668700;","Domain-Agnostic Neural Architecture for Class Incremental Continual Learning in Document Processing Platform",2023,"Proceedings of the Annual Meeting of the Association for Computational Linguistics","5",,,"527","537",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174322186&partnerID=40&md5=75cc2aa7f352f2670d22df9faba2bc71",Conference Paper,"Final","",Scopus,2-s2.0-85174322186
"Kayadibi, I., Güraksın, G.E.","57813237100;35100272200;","AN EARLY RETINAL DISEASE DIAGNOSIS SYSTEM USING OCT IMAGES VIA CNN-BASED STACKING ENSEMBLE LEARNING",2023,"International Journal for Multiscale Computational Engineering","21","1",,"1","25",,8,"10.1615/IntJMultCompEng.2022043544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142335400&doi=10.1615%2fIntJMultCompEng.2022043544&partnerID=40&md5=a0ab4fe684524ac9efee646a94e2c25e",Article,"Final","",Scopus,2-s2.0-85142335400
"Nakazawa, R., Premachandra, C.","58221130600;25926589200;","AI Based Biometrics Recognition with a Hyperspectral Image Sensor",2022,"2022 2nd International Conference on Robotics, Automation and Artificial Intelligence, RAAI 2022",,,,"240","243",,1,"10.1109/RAAI56146.2022.10092954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156105129&doi=10.1109%2fRAAI56146.2022.10092954&partnerID=40&md5=40e8cf34c8bbafecb3bc41e4d60ab550",Conference Paper,"Final","",Scopus,2-s2.0-85156105129
"Matthews, T., Lillis, D.","57206671248;15044909900;","Experimenting with ensembles of pre-trained language models for classification of custom legal datasets",2022,"ICNLSP 2022 - Proceedings of the 5th International Conference on Natural Language and Speech Processing",,,,"68","77",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152147971&partnerID=40&md5=6118942358acdcc11aa4274775fc46b7",Conference Paper,"Final","",Scopus,2-s2.0-85152147971
"Liang, C., He, P., Shen, Y., Chen, W., Zhao, T.","57218846201;57205508983;56729408300;23007589000;55178265500;","CAMERO: Consistency Regularized Ensemble of Perturbed Language Models with Weight Sharing",2022,"Proceedings of the Annual Meeting of the Association for Computational Linguistics","1",,,"7162","7175",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149135991&partnerID=40&md5=6d42cf0fafe0a92bae6bb1b0334720cc",Conference Paper,"Final","",Scopus,2-s2.0-85149135991
"Kawanishi, Y.","36188305700;","Label-based Multiple Object Ensemble Tracking with Randomized Frame Dropping",2022,"Proceedings - International Conference on Pattern Recognition","2022-August",,,"900","906",,4,"10.1109/ICPR56361.2022.9956158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143630849&doi=10.1109%2fICPR56361.2022.9956158&partnerID=40&md5=e0890ef9362f1f45157faea48d8eba8e",Conference Paper,"Final","",Scopus,2-s2.0-85143630849
"Jacobsen, F.L., Hicks, S.A., Halvorsen, P., Riegler, M.A.","57868315800;57203138665;35580847300;57203199685;","Estimating Predictive Uncertainty in Gastrointestinal Polyp Segmentation",2022,"Proceedings - IEEE Symposium on Computer-Based Medical Systems","2022-July",,,"44","49",,,"10.1109/CBMS55023.2022.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137903203&doi=10.1109%2fCBMS55023.2022.00015&partnerID=40&md5=9a4f35946ee9a46aff6c717f41477240",Conference Paper,"Final","",Scopus,2-s2.0-85137903203
