Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement. In: Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,2-s2.0-85176934448,https://www.scopus.com/record/display.url?eid=2-s2.0-85176934448&origin=resultslist,LAE-GAN: a novel cloud-based Low-light Attention Enhancement Generative Adversarial Network for unpaired text images,2-s2.0-85176966276,https://www.scopus.com/record/display.url?eid=2-s2.0-85176966276&origin=resultslist,F08; F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-Reference Deep Curve Estimation for Low-Light Image Enhancement,2-s2.0-85189324328,https://www.scopus.com/record/display.url?eid=2-s2.0-85189324328&origin=resultslist,Two-Stage Low-Light Image Enhancement Method Based on Generating Saturation-Corrected Reference Images,2-s2.0-85189296363,https://www.scopus.com/record/display.url?eid=2-s2.0-85189296363&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85214579907,https://www.scopus.com/record/display.url?eid=2-s2.0-85214579907&origin=resultslist,An Algorithm for Enhancing Low-Light Remote Sensing Images Based on Zero-Reference Deep Curve Estimation (Zero-DCE),2-s2.0-85214570845,https://www.scopus.com/record/display.url?eid=2-s2.0-85214570845&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85206434368,https://www.scopus.com/record/display.url?eid=2-s2.0-85206434368&origin=resultslist,LUCK: Lighting Up Colors in the Dark,2-s2.0-85211136211,https://www.scopus.com/record/display.url?eid=2-s2.0-85211136211&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,Efficient Multispectral Object Detection with attentive feature aggregation leveraging zero-shot implicit illumination guidance,2-s2.0-85214786921,https://www.scopus.com/record/display.url?eid=2-s2.0-85214786921&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,Bayesian nights: Optimizing night photography rendering with Bayesian derivative-free methods,2-s2.0-85213871466,https://www.scopus.com/record/display.url?eid=2-s2.0-85213871466&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,Wavelet-based enhancement network for low-light image,2-s2.0-85214307362,https://www.scopus.com/record/display.url?eid=2-s2.0-85214307362&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,STARNet: Low-light video enhancement using spatio-temporal consistency aggregation,2-s2.0-85209401312,https://www.scopus.com/record/display.url?eid=2-s2.0-85209401312&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,A light-weight deep learning framework for Low Light Image Enhancement,2-s2.0-85214254349,https://www.scopus.com/record/display.url?eid=2-s2.0-85214254349&origin=resultslist,F07
Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,Zero-reference deep curve estimation for low-light image enhancement,2-s2.0-85143764983,https://www.scopus.com/record/display.url?eid=2-s2.0-85143764983&origin=resultslist,Multiscale hybrid feature guided normalizing flow for low-light image enhancement,2-s2.0-85210635547,https://www.scopus.com/record/display.url?eid=2-s2.0-85210635547&origin=resultslist,F07
