Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85185499450,https://www.scopus.com/record/display.url?eid=2-s2.0-85185499450&origin=resultslist,A Survey of Data-Efficient Graph Learning,2-s2.0-85195616965,https://www.scopus.com/record/display.url?eid=2-s2.0-85195616965&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning Graph Embedding with Adversarial Training Methods,2-s2.0-85088233525,https://www.scopus.com/record/display.url?eid=2-s2.0-85088233525&origin=resultslist,Biomechanical mechanism of exercise under microscope in the treatment of cervical spondylosis,2-s2.0-85088277210,https://www.scopus.com/record/display.url?eid=2-s2.0-85088277210&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Community detection in attributed social networks using deep learning,2-s2.0-85204396750,https://www.scopus.com/record/display.url?eid=2-s2.0-85204396750&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Hard Sample Aware Network for Contrastive Deep Graph Clustering,2-s2.0-85167965918,https://www.scopus.com/record/display.url?eid=2-s2.0-85167965918&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,USER: Unsupervised Structural Entropy-Based Robust Graph Neural Network,2-s2.0-85159871951,https://www.scopus.com/record/display.url?eid=2-s2.0-85159871951&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Dink-Net: Neural Clustering on Large Graphs,2-s2.0-85174395382,https://www.scopus.com/record/display.url?eid=2-s2.0-85174395382&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,A practical regularity model based evolutionary algorithm for multiobjective optimization,2-s2.0-85138090078,https://www.scopus.com/record/display.url?eid=2-s2.0-85138090078&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Large-scale online multi-view graph neural network and applications,2-s2.0-85095762066,https://www.scopus.com/record/display.url?eid=2-s2.0-85095762066&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Different dimension ZnO nano materials in the rehabilitation of patients with limb fracture and injury,2-s2.0-85112666770,https://www.scopus.com/record/display.url?eid=2-s2.0-85112666770&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Rehabilitation physical training after anterior cruciate nanofibrous ligament reconstruction of sports knee joint,2-s2.0-85112543094,https://www.scopus.com/record/display.url?eid=2-s2.0-85112543094&origin=resultslist,F07
