Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Qi, Q.","57204392356;","A multi-path attention network for non-uniform blind image deblurring",2023,"Multimedia Tools and Applications","82","24",,"36909","36928",,3,"10.1007/s11042-023-14470-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150597100&doi=10.1007%2fs11042-023-14470-6&partnerID=40&md5=4405ade6c4b3159992f116f1424e4c30",Article,"Final","",Scopus,2-s2.0-85150597100
"Qi, Q.","57204392356;","Dynamic scene blind image deblurring based on local and non-local features",2023,"Machine Vision and Applications","34","3","39","","",,2,"10.1007/s00138-023-01384-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153110853&doi=10.1007%2fs00138-023-01384-4&partnerID=40&md5=18cb4f144ff889643a0f21bbd178fd29",Article,"Final","",Scopus,2-s2.0-85153110853
