Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lamee, K.F., Carlson, D.R., Newman, Z.L., Yu, S.-P., Papp, S.B.","57218406411;48061057600;56460113500;57201442949;8069499200;","Nanophotonic tantala waveguides for supercontinuum generation pumped at 1560 nm",2020,"Optics Letters","45","15",,"4192","4195",,25,"10.1364/OL.396950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089127619&doi=10.1364%2fOL.396950&partnerID=40&md5=1ee11e8bd4e4565739d8e3e6656c57bc",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85089127619
"Hamerly, R., Inagaki, T., McMahon, P.L., Venturelli, D., Marandi, A., Englund, D.R., Yamamoto, Y.","54882002500;26659015200;35792524800;36447652300;37041552600;8534954700;56350199300;","Synchronously-pumped OPO coherent Ising machine: Benchmarking and prospects",2020,"Proceedings of SPIE - The International Society for Optical Engineering","11299",,"112990J","","",,4,"10.1117/12.2547046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082770927&doi=10.1117%2f12.2547046&partnerID=40&md5=0feedccf3b40ac3c6671450460da715f",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85082770927
"Yu, M., Wang, C., Zhang, M., Loncar, M.","56211174100;55700880900;55507068600;7003545886;","Chip-Based Lithium-Niobate Frequency Combs",2019,"IEEE Photonics Technology Letters","31","23","8887492","1894","1897",,24,"10.1109/LPT.2019.2950567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077240966&doi=10.1109%2fLPT.2019.2950567&partnerID=40&md5=991eebf5d8e8b9b42fc76b7016fb098a",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85077240966
