Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Chen, X., Zhang, T., Wang, Y., Wang, Y., Zhao, H.","57224852306;57313664400;57200067965;55541092400;57222479659;","FUTR3D: A Unified Sensor Fusion Framework for 3D Detection",2023,"IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops","2023-June",,,"172","181",,85,"10.1109/CVPRW59228.2023.00022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170829162&doi=10.1109%2fCVPRW59228.2023.00022&partnerID=40&md5=c078a530d7b13e393c76793b75c8a3a7",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85170829162
"Tian, Z., Chu, X., Wang, X., Wei, X., Shen, C.","57191428694;57219495830;57204294755;57218700342;7402859952;","Fully Convolutional One-Stage 3D Object Detection on LiDAR Range Images",2022,"Advances in Neural Information Processing Systems","35",,,"","",,49,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144786438&partnerID=40&md5=2dee75836390021f67d0930997446a41",Conference Paper,"Final","",Scopus,2-s2.0-85144786438
