"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","","2020","Perceptual quality assessment of smartphone photography","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193625333&partnerID=40&md5=af546506e5f6af5b89b3749260df28ff","Article","Final","","Scopus","2-s2.0-85193625333"
"","","","Perceptual quality assessment of smartphone photography","0000","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","","","3677","3686","9","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149067918&partnerID=40&md5=2e916d9b525c0e0c99d43c313f8ebb64","Article","Final","","Scopus","2-s2.0-85149067918"
