Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Doan, T., Mirzadeh, S.I., Pineau, J., Farajtabar, M.","",[No title available],2022,"Efficient continual learning ensembles in neural network subspaces",,,,"","",,4,,,Article,"Final","",Scopus,2-s2.0-85134839228
"Aguiar, G., Krawczyk, B., Cano, A.","","A survey on learning from imbalanced data streams: taxonomy, challenges, empirical study, and reproducible experimental framework",2022,"A Survey on Learning From Imbalanced Data Streams: Taxonomy, Challenges, Empirical Study, And Reproducible Experimental Framework",,,,"","",,20,,,Article,"Final","",Scopus,2-s2.0-85131556453
"Li, Y., Pan, Y.","57221624393;24765302500;","A novel ensemble deep learning model for stock prediction based on stock prices and news",2022,"International Journal of Data Science and Analytics","13","2",,"139","149",,114,"10.1007/s41060-021-00279-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115058702&doi=10.1007%2fs41060-021-00279-9&partnerID=40&md5=c34d1644ce67fc4312a01e8c7716d4bf",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85115058702
"Wortsman, Mitchell, Ilharco, Gabriel, Gadre, Samir Yitzhak, Roelofs, Rebecca, Gontijo-Lopes, Raphael, Morcos, Ari S, Namkoong, Hongseok, Farhadi, Ali, Carmon, Yair, Kornblith, Simon","","Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time",2022,"Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time",,,,"23965","23998",,158,,,Article,"Final","",Scopus,2-s2.0-85127820877
"Sarker, I.H.","","Ai-based modeling: Techniques, applications and research issues towards automation, intelligent and smart systems",2022,"SN Computer Science","3","2",,"1","20",,401,,,Article,"Final","",Scopus,2-s2.0-85126780949
"Mai, Z., Li, R., Jeong, J., Quispe, D., Kim, H., Sanner, S.","57219736538;57222105868;57219737646;58345398200;57219735475;25825706800;","Online continual learning in image classification: An empirical survey",2022,"Neurocomputing","469",,,"28","51",,247,"10.1016/j.neucom.2021.10.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118574156&doi=10.1016%2fj.neucom.2021.10.021&partnerID=40&md5=a9a9803a9314a51a3ab17425dbd3a4f5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85118574156
"Gao, Z.-F., Liu, P., Zhao, W.X., Lu, Z.-Y., Wen, J.-R.","57219509270;57222867054;58122248100;25958209300;7402697777;","Parameter-Efficient Mixture-of-Experts Architecture for Pre-trained Language Models",2022,"Proceedings - International Conference on Computational Linguistics, COLING","29","1",,"3263","3273",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143115799&partnerID=40&md5=8f5500291636dc091571633d02ad6dae",Conference Paper,"Final","",Scopus,2-s2.0-85143115799
"Nowakowski, A., Jassem, K., Lison, M., Jaworski, R., Dwojak, T., Wiater, K., Posesor, O.","57244530700;6506862359;57884061900;36696380900;57194689192;57884313100;57883317200;","nEYron: Implementation and Deployment of an MT System for a Large Audit &amp; Consulting Corporation",2022,"EAMT 2022 - Proceedings of the 23rd Annual Conference of the European Association for Machine Translation",,,,"183","189",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137739639&partnerID=40&md5=809c23d54d0bc8c7387a531307e3be5f",Conference Paper,"Final","",Scopus,2-s2.0-85137739639
"Ravaut, M., Joty, S., Chen, N.F.","57201401730;24779447500;35178981400;","SummaReranker: A Multi-Task Mixture-of-Experts Re-ranking Framework for Abstractive Summarization",2022,"Proceedings of the Annual Meeting of the Association for Computational Linguistics","1",,,"4504","4524",,56,"10.18653/v1/2022.acl-long.309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133884603&doi=10.18653%2fv1%2f2022.acl-long.309&partnerID=40&md5=aa64110449423732b3286da0b46ec8d0",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85133884603
"Shanahan, M., Kaplanis, C., Mitrovic, J.","","Encoders and ensembles for task-free continual learning",2021,"CoRR",,,,"","",,2,,,Article,"Final","",Scopus,2-s2.0-85126210966
"Yang, Y., Lv, H., Chen, N.","",[No title available],2021,"A survey on ensemble learning under the era of deep learning",,,,"","",,13,,,Article,"Final","",Scopus,2-s2.0-85112732271
"Delange, Matthias, Aljundi, Rahaf, Masana, Marc, Parisot, Sarah, Jia, Xu, Leonardis, Ales, Slabaugh, Greg, Tuytelaars, Tinne","","A continual learning survey: Defying forgetting in classification tasks",2021,"IEEE Transactions on Pattern Analysis and Machine Intelligence",,,,"","",,248,,,Article,"Final","",Scopus,2-s2.0-85120723714
"Ke, Z., Liu, B., Ma, N., Xu, H., Shu, L.","57222576029;36063168200;56900536000;57193612773;57193603418;","Achieving Forgetting Prevention and Knowledge Transfer in Continual Learning",2021,"Advances in Neural Information Processing Systems","27",,,"22443","22456",,66,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127767488&partnerID=40&md5=5a106a09c62bbfc08ff5558c901b2578",Conference Paper,"Final","",Scopus,2-s2.0-85127767488
"Karakanta, A., Papi, S., Negri, M., Turchi, M.","57196458247;57221093709;56246432100;55907504700;","Simultaneous Speech Translation for Live Subtitling: from Delay to Display",2021,"1st Workshop on Automatic Spoken Language Translation in Real-World Settings, ASLTRW 2021",,,,"35","48",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121218924&partnerID=40&md5=3d287a3f2eebf931ec7aed994a0fbc5d",Conference Paper,"Final","",Scopus,2-s2.0-85121218924
"Cao, Y., Geddes, T.A., Yang, J.Y.H., Yang, P.","57205373192;57199068176;7409391345;55479219200;","Ensemble deep learning in bioinformatics",2020,"Nature Machine Intelligence","2","9",,"500","508",,202,"10.1038/s42256-020-0217-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089503024&doi=10.1038%2fs42256-020-0217-y&partnerID=40&md5=7ccdb249781af78c0dcc8799f3fcfc09",Review,"Final","",Scopus,2-s2.0-85089503024
"Hu, Y., Jacob, J., Parker, G.J.M., Hawkes, D.J., Hurst, J.R., Stoyanov, D.","24512208500;57200973324;24766914700;35464300200;57201513306;57203105770;","The challenges of deploying artificial intelligence models in a rapidly evolving pandemic",2020,"Nature Machine Intelligence","2","6",,"298","300",,49,"10.1038/s42256-020-0185-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133592547&doi=10.1038%2fs42256-020-0185-2&partnerID=40&md5=6001d29b111eafcff3cfee78a2016965",Note,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85133592547
"Bredin, H., Yin, R., Coria, J.M., Gelly, G., Korshunov, P., Lavechin, M., Fustes, D., Titeux, H., Bouaziz, W., Gill, M.-P.","14631475800;57200079908;57218451237;8538645600;20433948000;57218326933;55037489700;57215817877;57224235415;57218448476;","Pyannote.Audio: Neural Building Blocks for Speaker Diarization",2020,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","2020-May",,"9052974","7124","7128",,214,"10.1109/ICASSP40776.2020.9052974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089210648&doi=10.1109%2fICASSP40776.2020.9052974&partnerID=40&md5=1380e790f70b3560e34661d53048009d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85089210648
"Biesialska, M., Biesialska, K., Costa-jussà, M. R.","",[No title available],2020,"Continual lifelong learning in natural language processing: A survey",,,,"","",,37,,,Article,"Final","",Scopus,2-s2.0-85104089260
"Lee, S., Ha, J., Zhang, D., Kim, G.","57207771999;57210644083;57219742315;55685918100;","A NEURAL DIRICHLET PROCESS MIXTURE MODEL FOR TASK-FREE CONTINUAL LEARNING",2020,"8th International Conference on Learning Representations, ICLR 2020",,,,"","",,130,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143654387&partnerID=40&md5=503805bba1d189ed425afa515a04cf2c",Conference Paper,"Final","",Scopus,2-s2.0-85143654387
