EID,Abstract,Year,Title
2-s2.0-85087033400,https://www.scopus.com/record/display.url?eid=2-s2.0-85087033400&origin=resultslist,2020,Overcoming the energy gap law in near-infrared OLEDs by exciton–vibration decoupling
2-s2.0-85097259985,https://www.scopus.com/record/display.url?eid=2-s2.0-85097259985&origin=resultslist,2020,Ultrahigh strength and ductility in newly developed materials with coherent nanolamellar architectures
2-s2.0-85092526596,https://www.scopus.com/record/display.url?eid=2-s2.0-85092526596&origin=resultslist,2021,Non-metallic charge carriers for aqueous batteries
2-s2.0-85092468339,https://www.scopus.com/record/display.url?eid=2-s2.0-85092468339&origin=resultslist,2020,D3Feat: Joint learning of dense detection and description of 3D local features
2-s2.0-85077940691,https://www.scopus.com/record/display.url?eid=2-s2.0-85077940691&origin=resultslist,2020,Elastic straining of free-standing monolayer graphene
2-s2.0-85115187341,https://www.scopus.com/record/display.url?eid=2-s2.0-85115187341&origin=resultslist,2021,Three-dimensional capillary ratchet-induced liquid directional steering
2-s2.0-85122836765,https://www.scopus.com/record/display.url?eid=2-s2.0-85122836765&origin=resultslist,2022,Insight on Organic Molecules in Aqueous Zn-Ion Batteries with an Emphasis on the Zn Anode Regulation
2-s2.0-85106960716,https://www.scopus.com/record/display.url?eid=2-s2.0-85106960716&origin=resultslist,2021,To walk or not to walk? Examining non-linear effects of streetscape greenery on walking propensity of older adults
2-s2.0-85087148576,https://www.scopus.com/record/display.url?eid=2-s2.0-85087148576&origin=resultslist,2020,2D Metal–Organic Frameworks (MOFs) for High-Performance BatCap Hybrid Devices
2-s2.0-85094315513,https://www.scopus.com/record/display.url?eid=2-s2.0-85094315513&origin=resultslist,2020,Learning to restore low-light images via decomposition-and-enhancement
2-s2.0-85131745333,https://www.scopus.com/record/display.url?eid=2-s2.0-85131745333&origin=resultslist,2022,Underwater Image Enhancement via Minimal Color Loss and Locally Adaptive Contrast Enhancement
2-s2.0-85110855981,https://www.scopus.com/record/display.url?eid=2-s2.0-85110855981&origin=resultslist,2021,Pd doping-weakened intermediate adsorption to promote electrocatalytic nitrate reduction on TiO<sub>2</sub>nanoarrays for ammonia production and energy supply with zinc-nitrate batteries
2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,2022,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers
2-s2.0-85088024143,https://www.scopus.com/record/display.url?eid=2-s2.0-85088024143&origin=resultslist,2020,Recent Progress in Stimulus-Responsive Two-Dimensional Metal-Organic Frameworks
2-s2.0-85085313451,https://www.scopus.com/record/display.url?eid=2-s2.0-85085313451&origin=resultslist,2020,Ultra-dense optical data transmission over standard fibre with a single chip source
2-s2.0-85091225689,https://www.scopus.com/record/display.url?eid=2-s2.0-85091225689&origin=resultslist,2020,Thermal conductivity of graphene-based polymer nanocomposites
2-s2.0-85078153835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078153835&origin=resultslist,2020,Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides
2-s2.0-85079022782,https://www.scopus.com/record/display.url?eid=2-s2.0-85079022782&origin=resultslist,2020,"An Overview of Fiber-Shaped Batteries with a Focus on Multifunctionality, Scalability, and Technical Difficulties"
2-s2.0-85083849812,https://www.scopus.com/record/display.url?eid=2-s2.0-85083849812&origin=resultslist,2020,Ultrafast Luminescent Light-Up Guest Detection Based on the Lock of the Host Molecular Vibration
2-s2.0-85091594467,https://www.scopus.com/record/display.url?eid=2-s2.0-85091594467&origin=resultslist,2020,Self-Reporting and Photothermally Enhanced Rapid Bacterial Killing on a Laser-Induced Graphene Mask
2-s2.0-85084786871,https://www.scopus.com/record/display.url?eid=2-s2.0-85084786871&origin=resultslist,2020,Flexible and stretchable metal oxide nanofiber networks for multimodal and monolithically integrated wearable electronics
2-s2.0-85077493453,https://www.scopus.com/record/display.url?eid=2-s2.0-85077493453&origin=resultslist,2020,"A ""pDMS-in-water"" emulsion enables mechanochemically robust superhydrophobic surfaces with self-healing nature"
2-s2.0-85102661411,https://www.scopus.com/record/display.url?eid=2-s2.0-85102661411&origin=resultslist,2021,Soft magnetic skin for super-resolution tactile sensing with force self-decoupling
2-s2.0-85102964438,https://www.scopus.com/record/display.url?eid=2-s2.0-85102964438&origin=resultslist,2021,Silicate-Enhanced Heterogeneous Flow-Through Electro-Fenton System Using Iron Oxides under Nanoconfinement
2-s2.0-85128678328,https://www.scopus.com/record/display.url?eid=2-s2.0-85128678328&origin=resultslist,2022,Activating lattice oxygen in NiFe-based (oxy)hydroxide for water electrolysis
2-s2.0-85099658747,https://www.scopus.com/record/display.url?eid=2-s2.0-85099658747&origin=resultslist,2021,"Dopamine-Triggered Hydrogels with High Transparency, Self-Adhesion, and Thermoresponse as Skinlike Sensors"
2-s2.0-85078828835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078828835&origin=resultslist,2020,A General Method for Transition Metal Single Atoms Anchored on Honeycomb-Like Nitrogen-Doped Carbon Nanosheets
2-s2.0-85130741631,https://www.scopus.com/record/display.url?eid=2-s2.0-85130741631&origin=resultslist,2022,Flexible polystyrene/graphene composites with epsilon-near-zero properties
2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,2020,Learning graph embedding with adversarial training methods
2-s2.0-85092899420,https://www.scopus.com/record/display.url?eid=2-s2.0-85092899420&origin=resultslist,2021,ASIF-Net: Attention Steered Interweave Fusion Network for RGB-D Salient Object Detection
2-s2.0-85098777224,https://www.scopus.com/record/display.url?eid=2-s2.0-85098777224&origin=resultslist,2021,Grain size effect on tensile properties and slip systems of pure magnesium
2-s2.0-85097400724,https://www.scopus.com/record/display.url?eid=2-s2.0-85097400724&origin=resultslist,2021,Prediction With Multicross Component for Future Video Coding
2-s2.0-85104250272,https://www.scopus.com/record/display.url?eid=2-s2.0-85104250272&origin=resultslist,2021,High-performance large-area quasi-2D perovskite light-emitting diodes
2-s2.0-85095700061,https://www.scopus.com/record/display.url?eid=2-s2.0-85095700061&origin=resultslist,2020,Suppression of Mainbeam Deceptive Jammer with FDA-MIMO Radar
2-s2.0-85073281564,https://www.scopus.com/record/display.url?eid=2-s2.0-85073281564&origin=resultslist,2020,MXene/chitosan nanocoating for flexible polyurethane foam towards remarkable fire hazards reductions
2-s2.0-85088201406,https://www.scopus.com/record/display.url?eid=2-s2.0-85088201406&origin=resultslist,2020,Distributed Secure Cooperative Control under Denial-of-Service Attacks from Multiple Adversaries
2-s2.0-85099226271,https://www.scopus.com/record/display.url?eid=2-s2.0-85099226271&origin=resultslist,2021,Skin-Inspired Piezoelectric Tactile Sensor Array with Crosstalk-Free Row+Column Electrodes for Spatiotemporally Distinguishing Diverse Stimuli
2-s2.0-85075519755,https://www.scopus.com/record/display.url?eid=2-s2.0-85075519755&origin=resultslist,2020,Corrosion resistant nanostructured eutectic high entropy alloy
2-s2.0-85079607136,https://www.scopus.com/record/display.url?eid=2-s2.0-85079607136&origin=resultslist,2020,Surface plasmon resonance (SPR) infrared sensor based on D-shape photonic crystal fibers with ITO coatings
2-s2.0-85116524246,https://www.scopus.com/record/display.url?eid=2-s2.0-85116524246&origin=resultslist,2021,Single Image Deraining: From Model-Based to Data-Driven and beyond
2-s2.0-85083002886,https://www.scopus.com/record/display.url?eid=2-s2.0-85083002886&origin=resultslist,2020,Initiating Hexagonal MoO<sub>3</sub> for Superb-Stable and Fast NH<sub>4</sub>                             <sup>+</sup> Storage Based on Hydrogen Bond Chemistry
2-s2.0-85099730561,https://www.scopus.com/record/display.url?eid=2-s2.0-85099730561&origin=resultslist,2021,Sparse Gradient Regularized Deep Retinex Network for Robust Low-Light Image Enhancement
2-s2.0-85099664177,https://www.scopus.com/record/display.url?eid=2-s2.0-85099664177&origin=resultslist,2021,Halogenated Ti<sub>3</sub>C<sub>2</sub>MXenes with Electrochemically Active Terminals for High-Performance Zinc Ion Batteries
2-s2.0-85094324334,https://www.scopus.com/record/display.url?eid=2-s2.0-85094324334&origin=resultslist,2020,Perceptual quality assessment of smartphone photography
2-s2.0-85085295377,https://www.scopus.com/record/display.url?eid=2-s2.0-85085295377&origin=resultslist,2020,Nanostructural metallic materials: Structures and mechanical properties
2-s2.0-85089730557,https://www.scopus.com/record/display.url?eid=2-s2.0-85089730557&origin=resultslist,2020,Tip-induced flipping of droplets on Janus pillars: From local reconfiguration to global transport
2-s2.0-85086717269,https://www.scopus.com/record/display.url?eid=2-s2.0-85086717269&origin=resultslist,2020,Core–Shell Structured Nanoenergetic Materials: Preparation and Fundamental Properties
2-s2.0-85102286415,https://www.scopus.com/record/display.url?eid=2-s2.0-85102286415&origin=resultslist,2021,Uncertainty-Aware Blind Image Quality Assessment in the Laboratory and Wild
2-s2.0-85089684836,https://www.scopus.com/record/display.url?eid=2-s2.0-85089684836&origin=resultslist,2020,Morphology regulation of metal-organic framework-derived nanostructures for efficient oxygen evolution electrocatalysis
2-s2.0-85081645498,https://www.scopus.com/record/display.url?eid=2-s2.0-85081645498&origin=resultslist,2020,An integrated approach to automatic pixel-level crack detection and quantification of asphalt pavement
2-s2.0-85082736453,https://www.scopus.com/record/display.url?eid=2-s2.0-85082736453&origin=resultslist,2020,Cooperative deformation in high-entropy alloys at ultralow temperatures
2-s2.0-85089733299,https://www.scopus.com/record/display.url?eid=2-s2.0-85089733299&origin=resultslist,2020,Intercalation and exfoliation chemistries of transition metal dichalcogenides
2-s2.0-85097941462,https://www.scopus.com/record/display.url?eid=2-s2.0-85097941462&origin=resultslist,2021,Dense Attention Fluid Network for Salient Object Detection in Optical Remote Sensing Images
2-s2.0-85087111197,https://www.scopus.com/record/display.url?eid=2-s2.0-85087111197&origin=resultslist,2020,Conjugated porous polymers: Incredibly versatile materials with far-reaching applications
