EID,Abstract,Year
2-s2.0-85102964438,https://www.scopus.com/record/display.url?eid=2-s2.0-85102964438&origin=resultslist,2021
2-s2.0-85128678328,https://www.scopus.com/record/display.url?eid=2-s2.0-85128678328&origin=resultslist,2022
2-s2.0-85099658747,https://www.scopus.com/record/display.url?eid=2-s2.0-85099658747&origin=resultslist,2021
2-s2.0-85078828835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078828835&origin=resultslist,2020
2-s2.0-85130741631,https://www.scopus.com/record/display.url?eid=2-s2.0-85130741631&origin=resultslist,2022
2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,2020
2-s2.0-85092899420,https://www.scopus.com/record/display.url?eid=2-s2.0-85092899420&origin=resultslist,2021
2-s2.0-85098777224,https://www.scopus.com/record/display.url?eid=2-s2.0-85098777224&origin=resultslist,2021
2-s2.0-85097400724,https://www.scopus.com/record/display.url?eid=2-s2.0-85097400724&origin=resultslist,2021
2-s2.0-85104250272,https://www.scopus.com/record/display.url?eid=2-s2.0-85104250272&origin=resultslist,2021
2-s2.0-85095700061,https://www.scopus.com/record/display.url?eid=2-s2.0-85095700061&origin=resultslist,2020
2-s2.0-85073281564,https://www.scopus.com/record/display.url?eid=2-s2.0-85073281564&origin=resultslist,2020
2-s2.0-85088201406,https://www.scopus.com/record/display.url?eid=2-s2.0-85088201406&origin=resultslist,2020
2-s2.0-85099226271,https://www.scopus.com/record/display.url?eid=2-s2.0-85099226271&origin=resultslist,2021
2-s2.0-85075519755,https://www.scopus.com/record/display.url?eid=2-s2.0-85075519755&origin=resultslist,2020
2-s2.0-85079607136,https://www.scopus.com/record/display.url?eid=2-s2.0-85079607136&origin=resultslist,2020
2-s2.0-85116524246,https://www.scopus.com/record/display.url?eid=2-s2.0-85116524246&origin=resultslist,2021
2-s2.0-85083002886,https://www.scopus.com/record/display.url?eid=2-s2.0-85083002886&origin=resultslist,2020
2-s2.0-85099730561,https://www.scopus.com/record/display.url?eid=2-s2.0-85099730561&origin=resultslist,2021
2-s2.0-85099664177,https://www.scopus.com/record/display.url?eid=2-s2.0-85099664177&origin=resultslist,2021
2-s2.0-85094324334,https://www.scopus.com/record/display.url?eid=2-s2.0-85094324334&origin=resultslist,2020
2-s2.0-85085295377,https://www.scopus.com/record/display.url?eid=2-s2.0-85085295377&origin=resultslist,2020
2-s2.0-85089730557,https://www.scopus.com/record/display.url?eid=2-s2.0-85089730557&origin=resultslist,2020
2-s2.0-85086717269,https://www.scopus.com/record/display.url?eid=2-s2.0-85086717269&origin=resultslist,2020
2-s2.0-85102286415,https://www.scopus.com/record/display.url?eid=2-s2.0-85102286415&origin=resultslist,2021
2-s2.0-85089684836,https://www.scopus.com/record/display.url?eid=2-s2.0-85089684836&origin=resultslist,2020
2-s2.0-85081645498,https://www.scopus.com/record/display.url?eid=2-s2.0-85081645498&origin=resultslist,2020
2-s2.0-85082736453,https://www.scopus.com/record/display.url?eid=2-s2.0-85082736453&origin=resultslist,2020
2-s2.0-85089733299,https://www.scopus.com/record/display.url?eid=2-s2.0-85089733299&origin=resultslist,2020
2-s2.0-85097941462,https://www.scopus.com/record/display.url?eid=2-s2.0-85097941462&origin=resultslist,2021
2-s2.0-85087111197,https://www.scopus.com/record/display.url?eid=2-s2.0-85087111197&origin=resultslist,2020
2-s2.0-85116537453,https://www.scopus.com/record/display.url?eid=2-s2.0-85116537453&origin=resultslist,2021
2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,2022
2-s2.0-85114093270,https://www.scopus.com/record/display.url?eid=2-s2.0-85114093270&origin=resultslist,2021
2-s2.0-85064704140,https://www.scopus.com/record/display.url?eid=2-s2.0-85064704140&origin=resultslist,2020
2-s2.0-85074681666,https://www.scopus.com/record/display.url?eid=2-s2.0-85074681666&origin=resultslist,2020
2-s2.0-85093092199,https://www.scopus.com/record/display.url?eid=2-s2.0-85093092199&origin=resultslist,2020
2-s2.0-85104940722,https://www.scopus.com/record/display.url?eid=2-s2.0-85104940722&origin=resultslist,2021
2-s2.0-85112675653,https://www.scopus.com/record/display.url?eid=2-s2.0-85112675653&origin=resultslist,2021
2-s2.0-85087210206,https://www.scopus.com/record/display.url?eid=2-s2.0-85087210206&origin=resultslist,2020
2-s2.0-85078980714,https://www.scopus.com/record/display.url?eid=2-s2.0-85078980714&origin=resultslist,2020
2-s2.0-85085093682,https://www.scopus.com/record/display.url?eid=2-s2.0-85085093682&origin=resultslist,2020
2-s2.0-85094901059,https://www.scopus.com/record/display.url?eid=2-s2.0-85094901059&origin=resultslist,2020
2-s2.0-85101168430,https://www.scopus.com/record/display.url?eid=2-s2.0-85101168430&origin=resultslist,2021
2-s2.0-85102846137,https://www.scopus.com/record/display.url?eid=2-s2.0-85102846137&origin=resultslist,2021
2-s2.0-85091524701,https://www.scopus.com/record/display.url?eid=2-s2.0-85091524701&origin=resultslist,2021
2-s2.0-85149958949,https://www.scopus.com/record/display.url?eid=2-s2.0-85149958949&origin=resultslist,2023
2-s2.0-85116889551,https://www.scopus.com/record/display.url?eid=2-s2.0-85116889551&origin=resultslist,2022
2-s2.0-85104047591,https://www.scopus.com/record/display.url?eid=2-s2.0-85104047591&origin=resultslist,2021
2-s2.0-85101397678,https://www.scopus.com/record/display.url?eid=2-s2.0-85101397678&origin=resultslist,2021
2-s2.0-85087291346,https://www.scopus.com/record/display.url?eid=2-s2.0-85087291346&origin=resultslist,2020
2-s2.0-85105216046,https://www.scopus.com/record/display.url?eid=2-s2.0-85105216046&origin=resultslist,2021
2-s2.0-85100419580,https://www.scopus.com/record/display.url?eid=2-s2.0-85100419580&origin=resultslist,2021
2-s2.0-85110184743,https://www.scopus.com/record/display.url?eid=2-s2.0-85110184743&origin=resultslist,2021
2-s2.0-85147608245,https://www.scopus.com/record/display.url?eid=2-s2.0-85147608245&origin=resultslist,2022
2-s2.0-85079908217,https://www.scopus.com/record/display.url?eid=2-s2.0-85079908217&origin=resultslist,2020
2-s2.0-85094565711,https://www.scopus.com/record/display.url?eid=2-s2.0-85094565711&origin=resultslist,2020
2-s2.0-85106902108,https://www.scopus.com/record/display.url?eid=2-s2.0-85106902108&origin=resultslist,2021
2-s2.0-85112710142,https://www.scopus.com/record/display.url?eid=2-s2.0-85112710142&origin=resultslist,2021
2-s2.0-85092620117,https://www.scopus.com/record/display.url?eid=2-s2.0-85092620117&origin=resultslist,2020
2-s2.0-85115021140,https://www.scopus.com/record/display.url?eid=2-s2.0-85115021140&origin=resultslist,2021
2-s2.0-85115862554,https://www.scopus.com/record/display.url?eid=2-s2.0-85115862554&origin=resultslist,2021
2-s2.0-85143510011,https://www.scopus.com/record/display.url?eid=2-s2.0-85143510011&origin=resultslist,2023
2-s2.0-85081248313,https://www.scopus.com/record/display.url?eid=2-s2.0-85081248313&origin=resultslist,2020
2-s2.0-85058075679,https://www.scopus.com/record/display.url?eid=2-s2.0-85058075679&origin=resultslist,2020
2-s2.0-85118269565,https://www.scopus.com/record/display.url?eid=2-s2.0-85118269565&origin=resultslist,2021
2-s2.0-85100703368,https://www.scopus.com/record/display.url?eid=2-s2.0-85100703368&origin=resultslist,2021
2-s2.0-85077701595,https://www.scopus.com/record/display.url?eid=2-s2.0-85077701595&origin=resultslist,2020
2-s2.0-85097620954,https://www.scopus.com/record/display.url?eid=2-s2.0-85097620954&origin=resultslist,2020
2-s2.0-85109403277,https://www.scopus.com/record/display.url?eid=2-s2.0-85109403277&origin=resultslist,2022
2-s2.0-85115704480,https://www.scopus.com/record/display.url?eid=2-s2.0-85115704480&origin=resultslist,2021
2-s2.0-85106483590,https://www.scopus.com/record/display.url?eid=2-s2.0-85106483590&origin=resultslist,2021
2-s2.0-85076104381,https://www.scopus.com/record/display.url?eid=2-s2.0-85076104381&origin=resultslist,2020
