"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Zero-reference deep curve estimation for low-light image enhancement. In: Proceedings of the IEEE/CVF conference on computer vision and pattern recognition","2020","Pp 1780–1789","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176934448&partnerID=40&md5=f33afd1f9ddd4dd43bea6f4bb9fa9447","Article","Final","","Scopus","2-s2.0-85176934448"
"","","","Zero-Reference Deep Curve Estimation for Low-Light Image Enhancement","2020","IEEE Xplore","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189324328&partnerID=40&md5=4aeb92c262b4e802fcc43ef6caa815e6","Article","Final","","Scopus","2-s2.0-85189324328"
"","","","","1780","Zero-reference deep curve estimation for low-light image enhancement, in: proceedings of the IEEE/CVF conference on computer vision and pattern recognition, 2020, pp","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198114705&partnerID=40&md5=7c636eb2b3a55e4081efd9bae97e9ada","Article","Final","","Scopus","2-s2.0-85198114705"
"","","","Zero-reference deep curve estimation for low-light image enhancement","2021","IEEE Transactions on Pattern Analysis and Machine Intelligence","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214579907&partnerID=40&md5=5d40fe74fc1be274299cfdfc668c095d","Article","Final","","Scopus","2-s2.0-85214579907"
"","","","Zero-reference deep curve estimation for low-light image enhancement","0000","IEEE/CVF Conference on Computer Vision and Pattern","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206434368&partnerID=40&md5=6c2f2ed22c31efd52bf8fb0ed21c2156","Article","Final","","Scopus","2-s2.0-85206434368"
"","","","Zero-reference deep curve estimation for low-light image enhancement","2020","Zero-Reference Deep Curve Estimation for Low-Light Image Enhancement","","","","1780","1789","9","48","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143764983&partnerID=40&md5=f1184d21b7e9f0c9314b2d9272d37c70","Article","Final","","Scopus","2-s2.0-85143764983"
