Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Su, Z., Zhang, Y., Zhou, J., Shi, J., Qi, F., Ji, C.","57222380164;36700858900;16023268300;7404494682;58593217400;55445402800;","Multi-scale terahertz image reconstruction",2024,"Optics Communications","564",,"130572","","",,1,"10.1016/j.optcom.2024.130572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191761125&doi=10.1016%2fj.optcom.2024.130572&partnerID=40&md5=2b179815e62709d334e5697125e633e8",Article,"Final","",Scopus,2-s2.0-85191761125
"Wang, J., Zhang, J., Guo, S., Li, B.","59143071700;59142933100;57190299379;59143052100;","Frequency-oriented hierarchical fusion network for single image raindrop removal",2024,"PLoS ONE","19","5 May","e0301439","","",,,"10.1371/journal.pone.0301439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194126453&doi=10.1371%2fjournal.pone.0301439&partnerID=40&md5=e848821adecf4d793637ff0e930fecdf",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85194126453
"Guo, Q., Qi, H., Sun, J., Juefei-Xu, F., Ma, L., Lin, D., Feng, W., Wang, S.","57191163500;57211029245;57221147987;54911989900;55479591700;56421056100;56471162500;55775934200;","EfficientDeRain+: Learning Uncertainty-Aware Filtering via RainMix Augmentation for High-Efficiency Deraining",2024,"International Journal of Computer Vision",,,,"","",,,"10.1007/s11263-024-02281-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208117581&doi=10.1007%2fs11263-024-02281-7&partnerID=40&md5=73d3d5b8e86a12e303c3cb2026478e80",Article,"Article in Press","",Scopus,2-s2.0-85208117581
"Yuan, Z., Zhao, Y., Wang, Y., Zuo, X.","59227628400;59227333500;59227199300;59227628500;","Design and Implementation of Single Image Rain Removal System Based on Deep Learning",2024,"2024 5th International Seminar on Artificial Intelligence, Networking and Information Technology, AINIT 2024",,,,"1205","1208",,,"10.1109/AINIT61980.2024.10581696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199188327&doi=10.1109%2fAINIT61980.2024.10581696&partnerID=40&md5=06344c544d56a8c66dfd8d9107238770",Conference Paper,"Final","",Scopus,2-s2.0-85199188327
"Zhou, M., Zheng, N., Xu, Y., Guo, C., Li, C.","57214428027;57814467700;58998970000;57194397955;57149806700;","Training Your Image Restoration Network Better with Random Weight Network as Optimization Function",2023,"Advances in Neural Information Processing Systems","36",,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188965492&partnerID=40&md5=107cdda402070a52ce51db9f635e75ff",Conference Paper,"Final","",Scopus,2-s2.0-85188965492
