Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85078153835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078153835&origin=resultslist,Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85077233137,https://www.scopus.com/record/display.url?eid=2-s2.0-85077233137&origin=resultslist,Nanophotonic tantala waveguides for supercontinuum generation pumped at 1560 nm,2-s2.0-85089127619,https://www.scopus.com/record/display.url?eid=2-s2.0-85089127619&origin=resultslist,F07
Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85078153835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078153835&origin=resultslist,Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85077233137,https://www.scopus.com/record/display.url?eid=2-s2.0-85077233137&origin=resultslist,Synchronously-pumped OPO coherent Ising machine: Benchmarking and prospects,2-s2.0-85082770927,https://www.scopus.com/record/display.url?eid=2-s2.0-85082770927&origin=resultslist,F07
Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85078153835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078153835&origin=resultslist,Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides,2-s2.0-85077233137,https://www.scopus.com/record/display.url?eid=2-s2.0-85077233137&origin=resultslist,Chip-Based Lithium-Niobate Frequency Combs,2-s2.0-85077240966,https://www.scopus.com/record/display.url?eid=2-s2.0-85077240966&origin=resultslist,F07
