Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wang, Jianyi, Yue, Zongsheng, Zhou, Shangchen, Chan, Kelvin C. K., Loy, Chen Change","",[No title available],2023,"Exploiting diffusion prior for real-world image super-resolution",,,,"","",,73,,,Article,"Final","",Scopus,2-s2.0-85164668287
"Sahak, H., Watson, D., Saharia, C., Fleet, D.","","Denoising diffusion probabilistic models for robust image super-resolution in the wild",2023,"Denoising diffusion probabilistic models for robust image super-resolution in the wild",,,,"","",,37,,,Article,"Final","",Scopus,2-s2.0-85151319647
"Ruiz, Nataniel, Li, Yuanzhen, Jampani, Varun, Pritch, Yael, Rubinstein, Michael, Aberman, Kfir","","Dreambooth: Fine tuning text-to-image diffusion models for subject-driven generation",2023,"CVPR",,,,"22500","22510",,763,,,Article,"Final","",Scopus,2-s2.0-85153886471
"Shang, S., Shan, Z., Liu, G., Zhang, J.","","ResDiff: Combining CNN and diffusion model for image super-resolution",2023,"Resdiff: Combining cnn and diffusion model for image super-resolution",,,,"","",,26,,,Article,"Final","",Scopus,2-s2.0-85161203168
"Ma, Yiyang, Yang, Huan, Wang, Wenjing, Fu, Jianlong, Liu, Jiaying","",[No title available],2023,"Unified multi-modal latent diffusion for joint subject and text conditional image generation",,,,"","",,27,,,Article,"Final","",Scopus,2-s2.0-85152903257
"Singer, U., Polyak, A., Hayes, T., Yin, X., An, J., Zhang, S., Hu, Q., Yang, H., Ashual, O., Gafni, O., Parikh, D., Gupta, S., Taigman, Y.","57211760328;57188083000;57605683500;59238597800;57220880237;59063762300;57668322500;57192819182;57215771286;57215780857;22234699400;57215066662;36100641900;","MAKE-A-VIDEO: TEXT-TO-VIDEO GENERATION WITHOUT TEXT-VIDEO DATA",2023,"11th International Conference on Learning Representations, ICLR 2023",,,,"","",,73,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199860445&partnerID=40&md5=362d571b936e5a5b6d483c19c7d132d0",Conference Paper,"Final","",Scopus,2-s2.0-85199860445
"Xia, B., Zhang, Y., Wang, Y., Tian, Y., Yang, W., Timofte, R., Van Gool, L.","57423440700;56928496400;56685279700;57188686550;59242108500;35812778400;22735702300;","KNOWLEDGE DISTILLATION BASED DEGRADATION ESTIMATION FOR BLIND SUPER-RESOLUTION",2023,"11th International Conference on Learning Representations, ICLR 2023",,,,"","",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177829045&partnerID=40&md5=36f95cb481c8200f1ec967df26b7eff5",Conference Paper,"Final","",Scopus,2-s2.0-85177829045
"Xia, B., Zhang, Y., Wang, S., Wang, Y., Wu, X., Tian, Y., Yang, W., Van Gool, L.","57423440700;56928496400;58429345700;56685279700;57546373000;57188686550;59242108500;22735702300;","DiffIR: Efficient Diffusion Model for Image Restoration",2023,"Proceedings of the IEEE International Conference on Computer Vision",,,,"13049","13059",,59,"10.1109/ICCV51070.2023.01204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171590034&doi=10.1109%2fICCV51070.2023.01204&partnerID=40&md5=a13f6b1fafd5759d64771dd837a16fe0",Conference Paper,"Final","",Scopus,2-s2.0-85171590034
"Zhang, Q., Song, J., Huang, X., Chen, Y., Liu, M.-Y.","57219562885;57202059115;57191432428;56204245000;22835742800;","DiffCollage: Parallel Generation of Large Content with Diffusion Models",2023,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","2023-June",,,"10188","10198",,25,"10.1109/CVPR52729.2023.00982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168836294&doi=10.1109%2fCVPR52729.2023.00982&partnerID=40&md5=101c0014426c8f1737e18811c79062b5",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85168836294
"Ruan, L., Ma, Y., Yang, H., He, H., Liu, B., Fu, J., Yuan, N.J., Jin, Q., Guo, B.","57219742660;57814611400;57221186534;58266719000;56245405500;36731082400;55818206900;57202719734;56513051700;","MM-Diffusion: Learning Multi-Modal Diffusion Models for Joint Audio and Video Generation",2023,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","2023-June",,,"10219","10228",,54,"10.1109/CVPR52729.2023.00985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166284033&doi=10.1109%2fCVPR52729.2023.00985&partnerID=40&md5=17f15e8e7400e27fa4203639bb9188f3",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85166284033
