Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kadadou, D., Hasan, S.W.","57218916103;35738779100;","Binary hetero-structured PVDF/TiO2@MXene composite membranes for the removal of antibiotics from wastewater",2024,"Journal of Environmental Chemical Engineering","12","3","112787","","",,5,"10.1016/j.jece.2024.112787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190240845&doi=10.1016%2fj.jece.2024.112787&partnerID=40&md5=b3217fbaae92c5ca2c5c235db2747d87",Article,"Final","",Scopus,2-s2.0-85190240845
"Wang, R., Li, C., Tian, W., Liang, H., Wang, N., Zhang, H., Jin, F., Guo, R., Mo, Z., Liu, N.","57195642203;57324400100;56799696500;57324217900;57325148900;55511078500;58638029300;21233358200;10039883200;57201802337;","A novel phosphorylated MXene composite for enhanced selective adsorption of uranium",2024,"Journal of Environmental Chemical Engineering","12","3","112518","","",,3,"10.1016/j.jece.2024.112518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188737220&doi=10.1016%2fj.jece.2024.112518&partnerID=40&md5=65d50db7bab2df3c81124ede8b7f6f99",Article,"Final","",Scopus,2-s2.0-85188737220
"Xu, N., Wang, F., Goh, P.S., He, X., Luo, H., Wei, Y.","57209022571;58889200500;25823091000;55385613900;58016995300;56599424900;","Construction of MoS2@MXene composite membranes with stable laminar structure for superior nanofiltration performance",2024,"Desalination","577",,"117419","","",,5,"10.1016/j.desal.2024.117419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185172925&doi=10.1016%2fj.desal.2024.117419&partnerID=40&md5=77bdd70315779782e97fb5006eb3af38",Article,"Final","",Scopus,2-s2.0-85185172925
"Mu, M., Graham, N., Yu, W., Sun, K., Xu, X., Liu, T.","58783945700;55903712800;8431641700;55498725000;57192159829;57408490300;","Optimal cross-linking of MXene-based membranes for high rejection and low adsorption with long-term stability for water treatment",2024,"Journal of Membrane Science","701",,"122738","","",,6,"10.1016/j.memsci.2024.122738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190066875&doi=10.1016%2fj.memsci.2024.122738&partnerID=40&md5=04a63ef89164b677465a2c331fab5fab",Article,"Final","",Scopus,2-s2.0-85190066875
"Liu, X., Sun, R., Zhou, Z., Tang, Y.","58024857900;10044700100;58024858000;37082241700;","In situ growth of nano-hydroxyapatite on multilayered Ti3C2Tx MXene as a drug carrier with superior-performance",2024,"Journal of Materials Science and Technology","180",,,"91","101",,11,"10.1016/j.jmst.2023.08.063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177216110&doi=10.1016%2fj.jmst.2023.08.063&partnerID=40&md5=87f374d8676eb0f44353d3cbe21c009c",Article,"Final","",Scopus,2-s2.0-85177216110
"Zhai, R., Jiang, L., Chen, Z., Zhang, X., Zhou, J., Ma, X., Teng, C., Zhou, Y., Jiang, L.","57409072700;58203868100;57206982971;58072637800;57299435800;57330091400;55682010600;55267643900;56422845100;","Kelp Nanofiber-Based Composite Membranes for Highly Efficient Osmotic Energy Conversion",2024,"Advanced Functional Materials","34","17","2313914","","",,10,"10.1002/adfm.202313914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180860863&doi=10.1002%2fadfm.202313914&partnerID=40&md5=996842c3edaae9f8add5acf8bb419ef6",Article,"Final","",Scopus,2-s2.0-85180860863
"Wang, Z., Yang, P., He, X., Yu, Q.","57994539200;55726020600;58923745100;58923533400;","Preparation of intercalated MXene by TPAOH and its adsorption characteristics towards U(VI)",2024,"Journal of Radioanalytical and Nuclear Chemistry","333","4",,"1999","2014",,34,"10.1007/s10967-024-09429-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186886165&doi=10.1007%2fs10967-024-09429-2&partnerID=40&md5=c1ebc45de387f80a68c965105478557b",Article,"Final","",Scopus,2-s2.0-85186886165
"Luo, H., Xu, N., Li, Y., Li, J., Ji, W., Nian, P., Wang, Z., Wei, Y.","58016995300;57209022571;57202364564;58673936700;57208829790;56140641800;55899907400;56599424900;","Amino acid-bonded Ti3C2Tx MXene nanofiltration membranes with superior antifouling property for enhanced water purification",2024,"Journal of Membrane Science","693",,"122384","","",,9,"10.1016/j.memsci.2023.122384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180991340&doi=10.1016%2fj.memsci.2023.122384&partnerID=40&md5=e50161562c0a4424885993eb0b6f57e1",Article,"Final","",Scopus,2-s2.0-85180991340
"Ma, C., Peng, Y., Su, M., Song, G., Chen, D.","58419773400;58420431400;56208612300;36835663300;14064589500;","Fabrication of highly efficient hydroxyapatite microtubes for uranium sequestration and immobilization",2023,"Journal of Environmental Management","344",,"118417","","",,9,"10.1016/j.jenvman.2023.118417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163855276&doi=10.1016%2fj.jenvman.2023.118417&partnerID=40&md5=36358eeec3ecda3dbdbd0f6481192bee",Article,"Final","",Scopus,2-s2.0-85163855276
"Long, X., Zhao, G.-Q., Zheng, Y., Hu, J., Zuo, Y., Luo, W., Jiao, F.","57224167053;56824734500;57200622308;57189631893;57224166353;58504001000;8065328300;","A precise pyromellitic acid grafting prepared multifunctional MXene membranes for efficient oil-in-water emulsion separation and heavy metal ions removal",2023,"Chemical Engineering Journal","472",,"144904","","",,46,"10.1016/j.cej.2023.144904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165664914&doi=10.1016%2fj.cej.2023.144904&partnerID=40&md5=dcc8a5af4bd17424b49210b7a38e90d1",Article,"Final","",Scopus,2-s2.0-85165664914
