Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Pankam, P., Sae-Oui, P., Khaorapapong, N., Boonchiangma, S., Siriwong, C.","57221719659;6602882295;6507307637;35298774800;55867349700;","Structure and properties of ZnO-organobentonite-filled natural rubber composites",2024,"ChemistrySelect","9","5","e202303821","","",,,"10.1002/slct.202303821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183682741&doi=10.1002%2fslct.202303821&partnerID=40&md5=69916d9a695cf1db208456caebedadbb",Article,"Final","",Scopus,2-s2.0-85183682741
"Subash, B., Sasikala, R., Jayamoorthy, K., Magesan, P.","57210975646;6602882081;37761512200;55530942000;","Heterojunction of Bentonite Clay supported Bi2O3/ZnO composite for the detoxification of azo dyes under UV-A light illumination",2023,"Chemical Physics Impact","6",,"100152","","",,9,"10.1016/j.chphi.2022.100152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146658634&doi=10.1016%2fj.chphi.2022.100152&partnerID=40&md5=275ad6f460a45aab31aeef1c303ed811",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85146658634
"El Gaidoumi, A., Arrahli, A., Loqman, A., Baragh, F., El Bali, B., Kherbeche, A.","56819043000;57204818458;56716255600;57207305685;8415913200;57199426543;","Efficient Sol-gel Nanocomposite TiO2-clay in Photodegradation of Phenol: Comparison to Labe-made and Commercial Photocatalysts",2022,"Silicon","14","10",,"5401","5414",,14,"10.1007/s12633-021-01275-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112741437&doi=10.1007%2fs12633-021-01275-1&partnerID=40&md5=a8885698975f7b9467ecce42a2ba2228",Article,"Final","",Scopus,2-s2.0-85112741437
"El Gaidoumi, A., Doña Rodríguez, J.M., Pulido Melián, E., González-Díaz, O.M., Navío Santos, J.A., El Bali, B., Kherbeche, A.","56819043000;6701567121;16743982000;6602708293;7004654969;8415913200;57199426543;","Synthesis of sol-gel pyrophyllite/TiO2 heterostructures: Effect of calcination temperature and methanol washing on photocatalytic activity",2019,"Surfaces and Interfaces","14",,,"19","25",,23,"10.1016/j.surfin.2018.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056189096&doi=10.1016%2fj.surfin.2018.10.003&partnerID=40&md5=9eb9069dd640b2dc2900b143d44a938a",Article,"Final","",Scopus,2-s2.0-85056189096
"Rebitski, E.P., Darder, M., Aranda, P.","57190812437;6603575114;7005369268;","Layered double hydroxide/sepiolite hybrid nanoarchitectures for the controlled release of herbicides",2019,"Beilstein Journal of Nanotechnology","10",,,"1679","1690",,22,"10.3762/bjnano.10.163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072882281&doi=10.3762%2fbjnano.10.163&partnerID=40&md5=5c1d20782cdea287a57390cb57809f1c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072882281
"Aranda, P., Ruiz-Hitzky, E.","7005369268;7005478919;","Immobilization of Nanoparticles on Fibrous Clay Surfaces: Towards Promising Nanoplatforms for Advanced Functional Applications",2018,"Chemical Record","18","7",,"1125","1137",,50,"10.1002/tcr.201700113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042613653&doi=10.1002%2ftcr.201700113&partnerID=40&md5=9e6c3b034cf8c3852b437a6fb53f2ef3",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85042613653
"Belver, C., Hinojosa, M., Bedia, J., Tobajas, M., Alvarez, M.A., Rodríguez-González, V., Rodriguez, J.J.","57203822500;57195384505;23969840600;6602387750;58848780300;57204665220;14061154200;","Ag-Coated heterostructures of ZnO-TiO2/delaminated montmorillonite as solar photocatalysts",2017,"Materials","10","8","960","","",,40,"10.3390/ma10080960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027561589&doi=10.3390%2fma10080960&partnerID=40&md5=7840b29b53d5ced2be289ab1547294c4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85027561589
"Tobajas, M., Belver, C., Rodriguez, J.J.","6602387750;57203822500;14061154200;","Degradation of emerging pollutants in water under solar irradiation using novel TiO2-ZnO/clay nanoarchitectures",2017,"Chemical Engineering Journal","309",,,"596","606",,152,"10.1016/j.cej.2016.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993984946&doi=10.1016%2fj.cej.2016.10.002&partnerID=40&md5=969080b9fcfa55cb56516bc3797c9348",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84993984946
"Belver, C., Bedia, J., Rodriguez, J.J.","57203822500;23969840600;14061154200;","Zr-doped TiO 2 supported on delaminated clay materials for solar photocatalytic treatment of emerging pollutants",2017,"Journal of Hazardous Materials","322",,,"233","242",,109,"10.1016/j.jhazmat.2016.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959422957&doi=10.1016%2fj.jhazmat.2016.02.028&partnerID=40&md5=d4b5a587c70db1a539e1e8caa7b78e01",Article,"Final","",Scopus,2-s2.0-84959422957
"Akkari, M., Aranda, P., Ben Rhaiem, H., Ben Haj Amara, A., Ruiz-Hitzky, E.","57008064400;7005369268;6603240143;6602190912;7005478919;","ZnO/clay nanoarchitectures: Synthesis, characterization and evaluation as photocatalysts",2016,"Applied Clay Science","131",,,"131","139",,61,"10.1016/j.clay.2015.12.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950247397&doi=10.1016%2fj.clay.2015.12.013&partnerID=40&md5=0639315de5ae993d438a94700c2cc019",Article,"Final","",Scopus,2-s2.0-84950247397
